Symbol,Sector,Market Cap,Price,Price/Sales,Price/Earnings,Dividend Yield
URBN,Consumer Discretionary,2.95,25.41,0.85,13.21,-10000
VFC,Consumer Discretionary,21.79,52.62,1.83,20.66,3.19
VLO,Energy,29.6,65.62,0.43,13.3,4.24
VAR,Health Care,8.04,86.06,2.5,24.5,0
VTR,Real Estate,22.22,62.67,6.45,33.75,4.87
VRSN,Information Technology,8.56,83.66,7.54,24.46,0
VRSK,Industrials,13.61,81.84,6.91,23.68,-10000
VZ,Telecommunications Services,201.55,49.44,1.62,15.4,4.61
VRTX,Health Care,22.69,91.32,13.27,-10000,-10000
VIAB,Consumer Discretionary,17.04,42.93,1.32,12.32,1.89
V,Information Technology,206.98,89.06,12.94,34.52,0.74
VNO,Real Estate,20.39,107.85,7.65,24.88,2.61
VMC,Materials,15.67,118.37,4.43,38.32,0.82
WMT,Consumer Staples,214.15,69.87,0.44,15.95,2.91
WBA,Consumer Staples,92.82,85.99,0.79,22.75,1.75
WM,Industrials,31.97,72.7,2.36,27.43,2.33
WAT,Health Care,12.28,153.36,5.67,23.93,0
WEC,Utilities,18.71,59.29,2.5,20.03,3.51
WFC,Financials,291.7,58.3,3.47,14.61,2.58
HCN,Real Estate,24.83,68.49,5.94,24.37,5
WDC,Information Technology,22.12,76.8,1.39,-10000,2.58
WU,Information Technology,9.57,19.9,1.76,39.02,3.51
WRK,Materials,12.79,50.9,0.93,94.61,2.96
WY,Real Estate,25.07,33.47,3.95,23.92,3.63
WHR,Consumer Discretionary,13.06,175.38,0.63,15.25,2.25
WFM,Consumer Staples,9.39,29.47,0.6,21.28,1.89
WMB,Energy,24.3,29.42,3.29,-10000,4.05
WLTW,Financials,17.45,127.63,2.26,56.47,1.63
WYN,Consumer Discretionary,8.63,82.19,1.68,14.86,2.52
WYNN,Consumer Discretionary,10.11,99.46,2.28,41.79,1.98
XEL,Utilities,22.23,43.82,1.99,19.85,3.29
XRX,Information Technology,7.48,7.36,0.7,-10000,3.4
XLNX,Information Technology,14.62,58.75,6.33,25.77,2.25
XL,Financials,10.63,40.13,1,25.72,2.18
XYL,Industrials,8.75,48.78,2.31,33.64,1.48
YHOO,Information Technology,43.74,45.73,8.45,-10000,-10000
YUM,Consumer Discretionary,22.65,64.02,3.59,15.83,2.66
ZBH,Health Care,23.54,117.07,3.07,77.53,0.81
ZION,Financials,9.17,45.28,4.01,22.75,0.71
ZTS,Health Care,26.11,53.07,5.34,32.16,0.79
